Exporter Details,Country of Origin,Vessel Name,Voyage No,Port of Loading (POL),Port of Discharge (POD),Final Destination (Country),Product Code,Description of Goods,HS Code,Unit Quantity,Unit Type,Price (per unit),Currency
EXP-62035,Netherlands,Sea Pioneer,VY-9281,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-21514,"Fresh cheese ""unripened or uncured cheese"", incl. whey cheese and curd of a fat content, by weight, of <= 40% (excl. Mozzarella)",4061050,306,KG,351.0,EUR
EXP-47973,Japan,Horizon Express,VY-8837,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-69024,Raw beet sugar (excl. for refining and added flavouring or colouring),17011290,20,PCS,51.24,JPY
EXP-45190,Japan,Neptune Carrier,VY-9060,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-56645,"Coalfish ""Pollachius virens"", prepared or preserved, whole or in pieces (excl. finely minced and fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)",16041993,364,TON,479.68,JPY
EXP-10411,India,Blue Horizon,VY-8013,"Main Port, India","Casa Port, Morocco",Morocco,PROD-32458,"Fresh, chilled or frozen livers of domestic guinea fowls",2076091,192,KG,149.71,INR
EXP-10053,Turkey,Maritime Legend,VY-7305,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-34504,"Jams, jellies, marmalades, purées or pastes of fruit, obtained by cooking, whether or not containing added sugar or other sweetening matter (excl. citrus fruit and homogenised preparations of subheading 200710)",200799,487,LITRE,419.81,TRY
EXP-38815,Brazil,Maritime Legend,VY-5067,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-42637,"Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)",2045039,344,LITRE,127.74,BRL
EXP-46397,France,Atlantic Voyager,VY-6642,"Main Port, France","Casa Port, Morocco",Morocco,PROD-85675,"Mixtures of edible and dried nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, citrus fruit and grapes, containing plums or figs",8135099,356,TON,286.52,EUR
EXP-81015,Netherlands,Maritime Legend,VY-2185,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-67322,Coffee husks and skins,9019010,164,TON,377.09,EUR
EXP-65010,South Korea,Horizon Express,VY-2463,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-16817,Rolled or flaked wheat grains,11041910,58,PCS,385.38,KRW
EXP-17184,India,Ocean Explorer,VY-4110,"Main Port, India","Casa Port, Morocco",Morocco,PROD-51491,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. fillets and Alaska pollack ""Theragra chalcogramma"")",30495,342,KG,492.19,INR
EXP-71387,Spain,Pacific Challenger,VY-4804,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-58946,"Fructose in solid form and fructose syrup, not containing added flavouring or colouring matter and containing in the dry state > 50% by weight of fructose (excl. chemically pure fructose and invert sugar)",3028910,81,M3,394.09,EUR
EXP-11621,United States,Pacific Challenger,VY-9389,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-20243,Vegetable and strawberry plants,6029030,389,TON,39.5,USD
EXP-28995,Spain,Pacific Challenger,VY-6157,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-42376,Frozen whole wings of domestic geese,2075531,400,TON,231.83,EUR
EXP-25325,China,Atlantic Voyager,VY-2307,"Main Port, China","Casa Port, Morocco",Morocco,PROD-67899,Mushroom spawn,6029010,194,M3,295.82,CNY
EXP-30549,United Kingdom,Blue Horizon,VY-2388,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-68448,"17011490
                            


                        Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excl. for refining, and cane sugar of 170113)",170113,302,LITRE,401.52,GBP
EXP-26020,Canada,Horizon Express,VY-5900,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-54097,"Cooked pasta, stuffed with meat or other substances (excl. containing > 20% by weight of sausages and the like, of meat and meat offal of any kind, incl. fats of any kind or origin or > 20% by weight of fish, crustaceans, molluscs or other aquatic invertebrates)",3055970,128,LITRE,378.37,CAD
EXP-43745,United States,Sea Pioneer,VY-5067,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-83570,"Poppy seeds, whether or not broken",15220010,333,TON,155.79,USD
EXP-43460,Netherlands,Horizon Express,VY-6044,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-41579,Fresh or chilled lettuce (excl. cabbage lettuce),7051900,381,M3,100.98,EUR
EXP-74940,Netherlands,Neptune Carrier,VY-2781,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-23331,"Cereals in grain or flake form or other worked grains, pre-cooked or otherwise prepared, n.e.s. (excl. rice, maize [corn], flour, groats and meal, food preparations obtained by swelling or roasting or from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes or swelled cereals and bulgur wheat)",19049080,115,KG,363.47,EUR
EXP-33667,United States,Horizon Express,VY-4961,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-63930,Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof),2031955,79,PCS,321.23,USD
EXP-76444,United States,Blue Horizon,VY-6434,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-88724,Indoor flowering plants with buds or flowers (excl. cacti),6029091,199,LITRE,324.96,USD
EXP-87680,Netherlands,Atlantic Voyager,VY-7041,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-91905,Fresh or chilled fillets of dogfish and other sharks,30447,322,LITRE,93.9,EUR
EXP-17887,India,Blue Horizon,VY-2823,"Main Port, India","Casa Port, Morocco",Morocco,PROD-44422,Coffee husks and skins,9019010,269,KG,421.42,INR
EXP-49287,Spain,Ocean Explorer,VY-6642,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-38693,"200599

Subheading


                        Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen (excl. preserved by sugar, homogenised vegetables of subheading 200510, and tomatoes, mushrooms, truffles, potatoes, peas ""Pisum sativum"", beans ""Vigna, Phaseolus"", asparagus, olives, sweetcorn ""Zea Mays var. Saccharata"" and bamboo shoots, unmixed)",200510,235,M3,77.28,EUR
EXP-15738,Netherlands,Atlantic Voyager,VY-1891,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-30814,"Mussels, prepared or preserved (excl. smoked)",160553,470,M3,338.49,EUR
EXP-51426,Turkey,Neptune Carrier,VY-5900,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-32983,"Rape or colza seeds, whether or not broken",1205,417,LITRE,280.61,TRY
EXP-59804,Belgium,Pacific Challenger,VY-3202,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-48465,Green tea in immediate packings of <= 3 kg,9021000,483,M3,190.15,EUR
EXP-67217,Netherlands,Neptune Carrier,VY-8706,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-27275,"Waffles and wafers, salted, whether or not filled (excl. of a water content, by weight, of > 10%)",19053291,144,LITRE,13.26,EUR
EXP-82414,China,Global Trader,VY-2185,"Main Port, China","Casa Port, Morocco",Morocco,PROD-76602,"17011410
                            


                        Raw cane sugar for refining, in solid form, not containing added flavouring or colouring matter (excl. cane sugar of 170113)",170113,202,M3,389.06,CNY
EXP-16734,India,Global Trader,VY-2692,"Main Port, India","Casa Port, Morocco",Morocco,PROD-65413,"Frozen fillets of shortfin Mako shark ""Isurus Oxyrinchus""",3048822,440,M3,272.26,INR
EXP-54026,India,Sea Pioneer,VY-4832,"Main Port, India","Casa Port, Morocco",Morocco,PROD-52271,"Frozen meat, whether or not minced, of picked dogfish ""Squalus acanthias"" and catsharks ""Scyliorhinus spp.""",3049610,317,KG,398.52,INR
EXP-29771,Brazil,Sea Pioneer,VY-2388,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-35559,"Aromatic bitters of an alcoholic strength of >= 44,2% but <= 49,2% vol containing >= 1,5% but <= 6% by weight of gentian, spices and various ingredients and >= 4% but <= 10% of sugar, in containers holding <= 0,5 l",21039030,80,M3,26.39,BRL
EXP-22015,Belgium,Atlantic Voyager,VY-2859,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-23891,"Prepared or preserved meat or meat offal of fowls of the species Gallus domesticus (excl. that containing >= 25% meat or offal of poultry, meat or offal of turkeys or guinea fowl, sausages and similar products, finely homogenised preparations put up for retail sale as infant food or for dietetic purposes, in containers of a net weight of <= 250 g, preparations of liver and meat extracts and juices)",16023290,493,TON,347.47,EUR
EXP-76653,Germany,Neptune Carrier,VY-4961,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-98977,"Milk and cream in solid forms, of a fat content by weight of > 27%, sweetened, in immediate packings of <= 2,5 kg",4022991,317,TON,15.57,EUR
EXP-68081,Canada,Sea Pioneer,VY-1891,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-23554,"Cereal grains of rye, not otherwise worked than kibbled",11042955,299,KG,449.34,CAD
EXP-63628,Brazil,Neptune Carrier,VY-5900,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-90105,"Frozen fillets of hake ""Merluccius spp., Urophycis spp.""",30474,62,TON,146.5,BRL
EXP-48169,Belgium,Pacific Challenger,VY-3699,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-63000,Coffee husks and skins,9019010,56,KG,163.57,EUR
EXP-16786,United States,Global Trader,VY-2463,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-93042,"Solid fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically modified, in immediate packings of <= 1 kg, n.e.s. (excl. for technical or industrial uses and crude fats and oils)",15159091,323,TON,381.67,USD
EXP-78497,Brazil,Pacific Challenger,VY-9281,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-21559,"Hulled, even sliced or kibbled cereal grains (excl. rice, oats, maize and barley)",11042917,59,KG,327.93,BRL
EXP-39362,Russia,Global Trader,VY-7280,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-14040,"Nuts and other seeds, incl. mixtures, prepared or preserved, in immediate packings of a content of <= 1 kg (excl. prepared or preserved with vinegar, preserved with sugar but not laid in syrup, jams, fruit jellies, marmalades, fruit purée and pastes, obtained by cooking, groundnuts, roasted nuts, and coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, colanuts and macadamia nuts and mixtures containing >= 50% by weight of tropical nuts)",1023910,345,TON,263.55,RUB
EXP-63751,Brazil,Neptune Carrier,VY-6531,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-48537,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter, obtained without centrifugation, with sucrose content 69° to 93°, containing only natural anhedral microcrystals (see subheading note 2.)",170113,377,M3,488.23,BRL
EXP-36842,United States,Ocean Explorer,VY-9958,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-28374,"Jams, jellies, marmalades, purées or pastes of fruit, obtained by cooking, whether or not containing added sugar or other sweetening matter (excl. citrus fruit and homogenised preparations of subheading 200710)",200799,159,KG,338.91,USD
EXP-56373,Spain,Sea Pioneer,VY-7305,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-54314,"Frozen albacore or longfinned tunas ""Thunnus alalunga""",30341,100,KG,216.67,EUR
EXP-90065,Netherlands,Blue Horizon,VY-7555,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-62500,Crispbread,16024190,146,TON,278.89,EUR
EXP-52293,Japan,Neptune Carrier,VY-2307,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-13653,Cocoa paste (excl. defatted),18031000,13,KG,26.31,JPY
EXP-50541,Turkey,Maritime Legend,VY-1178,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-44730,"Fresh or chilled Atlantic bluefin tuna ""Thunnus thynnus"", for industrial processing or preservation",3023511,59,PCS,374.17,TRY
EXP-17979,Germany,Pacific Challenger,VY-4695,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-38521,"20089776
                            


                        Mixtures of guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya, incl. mixtures containing >= 50% by weight of these fruits and coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, cola nuts and macadamia nuts, prepared or preserved, not containing added spirit but containing added sugar, in immediate packings of a net content of <= 1 kg (excl. mixtures, in which the weight of no single fruit exceeds 50% of the total weight of the fruits)",19042010,408,LITRE,99.99,EUR
EXP-19295,United Kingdom,Neptune Carrier,VY-2536,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-84509,"Insects, fit for human consumption, fresh, chilled or frozen (excl. flours and meals)",4101010,290,KG,337.21,GBP
EXP-30860,United Kingdom,Horizon Express,VY-5067,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-31361,"Frozen meat ""whether or not minced"" of monkfish ""Lophius spp."" (excl. fillets)",3049965,387,KG,463.67,GBP
EXP-11214,Spain,Horizon Express,VY-2630,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-74313,"Domestic swine hams and cuts thereof, salted or in brine, with bone in",2101111,89,KG,324.31,EUR
EXP-26596,United States,Voyager Titan,VY-3202,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-49490,"Wholly milled long grain rice, length-width > 2 but < 3, whether or not polished or glazed (excl. parboiled)",10063096,348,PCS,488.08,USD
EXP-69825,Belgium,Blue Horizon,VY-1178,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-67778,"Cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", dried, salted, not smoked clipfish (excl. fillets and offal)",3038955,164,M3,444.81,EUR
EXP-28118,South Korea,Sea Pioneer,VY-4133,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-83039,"Prepared or preserved meat or meat offal of domestic ducks, geese and guinea fowls, containing < 57% by weight ""excl. bones"" meat or offal of poultry (excl. sausages and similar products, finely homogenised preparations put up for retail sale as infant food or for dietetic purposes, in containers of a net weight of <= 250 g, preparations of liver and meat extracts)",16023985,248,M3,113.84,KRW
EXP-80034,South Korea,Ocean Explorer,VY-6904,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-97776,"Frozen tunas of the genus ""Thunnus"" (excl. tunas for industrial processing or preservation and Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)",3034985,4,LITRE,377.62,KRW
EXP-84923,France,Horizon Express,VY-2604,"Main Port, France","Casa Port, Morocco",Morocco,PROD-12041,Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding),1022905,222,M3,131.7,EUR
EXP-70344,Turkey,Sea Pioneer,VY-9958,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-20885,"Insects, turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.",3032300,94,LITRE,417.13,TRY
EXP-77349,Netherlands,Neptune Carrier,VY-6904,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-41255,"Cattle of a weight > 80 kg but <= 160 kg, for slaughter",1022921,360,PCS,256.67,EUR
EXP-87387,Japan,Global Trader,VY-6455,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-35536,"17019100
                            


                        Refined cane or beet sugar, containing added flavouring or colouring, in solid form",170113,350,PCS,95.06,JPY
EXP-43460,Japan,Global Trader,VY-9186,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-48669,Fresh or chilled boneless cuts of sheep,2042300,306,LITRE,280.39,JPY
EXP-54755,Brazil,Sea Pioneer,VY-6793,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-29960,Fescue seed for sowing,160232,452,TON,287.09,BRL
EXP-58732,Turkey,Atlantic Voyager,VY-2198,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-94824,Rye flour,11029070,147,M3,365.13,TRY
EXP-16021,Russia,Blue Horizon,VY-2113,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-43028,"Vegetable seeds, for sowing",120991,230,PCS,481.35,RUB
EXP-97085,Netherlands,Pacific Challenger,VY-4995,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-31370,"Fresh, chilled, frozen or dried roots and tubers of manioc ""cassava"", whether or not sliced or in the form of pellets",7141000,27,PCS,157.5,EUR
EXP-36490,United Kingdom,Pacific Challenger,VY-8013,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-46398,"Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)",1051191,497,PCS,282.71,GBP
EXP-45708,United States,Ocean Explorer,VY-2859,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-94927,"Live trout ""Oncorhynchus apache and Oncorhynchus chrysogaster""",3019110,86,TON,15.48,USD
EXP-68454,United Kingdom,Neptune Carrier,VY-6128,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-92371,"Milk and cream in solid forms, of a fat content by weight of <= 27% but > 1,5%, sweetened, in immediate packings of <= 2,5 kg (excl. for infants in hermetically sealed containers of <= 500 g)",4022915,177,TON,403.74,GBP
EXP-67974,Germany,Sea Pioneer,VY-9155,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-92861,"Prepared or preserved fish, whole or in pieces (excl. minced, merely smoked, and salmon, herrings, sardines, sardinella, brisling or sprats, tunas, skipjack, bonito ""sarda spp."", mackerel, anchovies, eels and shark fins)",160419,26,M3,352.56,EUR
EXP-73360,Japan,Horizon Express,VY-6642,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-54361,"Olives, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",71120,145,KG,344.21,JPY
EXP-26874,Germany,Ocean Explorer,VY-2463,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-58327,"Whey and modified whey, in powder, granules or other solid forms, without added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of > 15% by weight and a fat content, by weight, of > 27%",4041016,438,TON,308.54,EUR
EXP-31317,Italy,Global Trader,VY-8640,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-78819,"Mixtures of guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya, incl. mixtures containing >= 50% by weight of these fruits and coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, cola nuts and macadamia nuts, prepared or preserved, not containing added spirit but containing added sugar, in which the weight of no single fruit exceeds 50% of the total weight, in immediate packings of a net content of <= 1 kg",20089772,201,TON,362.45,EUR
EXP-22484,South Korea,Maritime Legend,VY-5410,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-56626,"Shortfin Mako shark ""Isurus Oxyrinchus"" fins, smoked, dried, salted or in brine",15161010,55,TON,499.28,KRW
EXP-54772,South Korea,Global Trader,VY-4245,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-15867,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, jellyfish ""Rhopilema spp.""",30830,253,KG,382.96,KRW
EXP-23983,Brazil,Horizon Express,VY-7391,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-43845,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",20690,448,KG,92.99,BRL
EXP-85750,South Korea,Voyager Titan,VY-1891,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-25488,"Pineapple juice, unfermented, Brix value > 20 but <= 67 at 20°C, value of <= 30 € per 100 kg, containing > 30% added sugar (excl. containing spirit)",20094991,45,KG,451.91,KRW
EXP-85373,Spain,Voyager Titan,VY-9646,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-79105,Fresh or chilled sheep chines and/or best ends,2042230,36,PCS,83.22,EUR
EXP-40307,United States,Atlantic Voyager,VY-2932,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-67985,"Hulled, even sliced or kibbled oat grains",11042240,199,PCS,417.97,USD
EXP-25830,India,Voyager Titan,VY-7557,"Main Port, India","Casa Port, Morocco",Morocco,PROD-29061,"Wholly milled medium grain rice, parboiled, whether or not polished or glazed",20083019,261,M3,273.37,INR
EXP-57908,China,Pacific Challenger,VY-7555,"Main Port, China","Casa Port, Morocco",Morocco,PROD-18773,"Perennial ryegrass ""Lolium perenne L."", seed for sowing",12092590,190,PCS,179.52,CNY
EXP-80936,India,Neptune Carrier,VY-7303,"Main Port, India","Casa Port, Morocco",Morocco,PROD-45845,"Clover ""Trifolium spp."" seed for sowing (excl. red clover [Trifolium pratense L.])",12092280,111,M3,102.47,INR
EXP-63506,France,Global Trader,VY-6413,"Main Port, France","Casa Port, Morocco",Morocco,PROD-47961,"Crude coconut oil, in immediate packings of <= 1 kg (excl. for technical or industrial uses)",15131191,104,KG,253.27,EUR
EXP-71181,Brazil,Neptune Carrier,VY-6455,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-19707,Margarine (excl. liquid),151710,37,TON,268.52,BRL
EXP-15552,Turkey,Global Trader,VY-5900,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-47349,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",160239,26,TON,319.22,TRY
EXP-16797,Germany,Ocean Explorer,VY-9646,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-44152,"Residues from treatment of fatty substances or animal and vegetable waxes (excl. those containing oil with characteristics of olive oil, oil foots and dregs and soapstocks)",15220099,56,KG,100.47,EUR
EXP-97948,Spain,Sea Pioneer,VY-9186,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-64151,"Roasted almonds and pistachios, in immediate packings of a net content <= 1 kg",20081993,358,M3,345.24,EUR
EXP-55461,Netherlands,Global Trader,VY-6642,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-10439,"Mixtures of citrus and pineapple juice, unfermented, Brix value <= 67 at 20°C, value of <= 30 € per 100 kg, containing <= 30% added sugar (excl. containing spirit)",20099073,7,M3,86.46,EUR
EXP-86491,China,Blue Horizon,VY-1267,"Main Port, China","Casa Port, Morocco",Morocco,PROD-71397,"Frozen ling ""Molva spp.""",3036980,52,TON,454.12,CNY
EXP-97346,France,Pacific Challenger,VY-9958,"Main Port, France","Casa Port, Morocco",Morocco,PROD-39581,"Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)",1022959,146,TON,305.13,EUR
EXP-23905,Germany,Global Trader,VY-2932,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-46980,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus",2071340,212,M3,399.74,EUR
EXP-73026,China,Ocean Explorer,VY-7557,"Main Port, China","Casa Port, Morocco",Morocco,PROD-18807,"Fresh or chilled freshwater fish, n.e.s.",3028910,210,TON,319.09,CNY
EXP-25407,Germany,Neptune Carrier,VY-6793,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-36808,"Fresh or chilled megrim ""Lepidorhombus spp.""",3022910,308,TON,178.88,EUR
EXP-61283,France,Horizon Express,VY-3656,"Main Port, France","Casa Port, Morocco",Morocco,PROD-68565,"Fresh or chilled domestic geese, not cut in pieces, plucked and drawn, without heads and feet, with or without hearts and gizzards, ""75 % geese"" or otherwise presented",2075190,335,PCS,343.51,EUR
EXP-67281,Turkey,Voyager Titan,VY-9616,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-20621,Raw natural sponges of animal origin,5119931,397,M3,491.09,TRY
EXP-93086,India,Ocean Explorer,VY-9958,"Main Port, India","Casa Port, Morocco",Morocco,PROD-44041,Crude maize oil,4063010,319,KG,200.72,INR
EXP-98404,South Korea,Voyager Titan,VY-6052,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-64891,"Cereal grains of rye, not otherwise worked than kibbled",11042955,481,M3,43.28,KRW
EXP-21279,South Korea,Pacific Challenger,VY-5857,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-30800,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen (excl. preserved by sugar, homogenised vegetables of subheading 200510, and tomatoes, mushrooms, truffles, potatoes, peas ""Pisum sativum"", beans ""Vigna, Phaseolus"", asparagus, olives, sweetcorn ""Zea Mays var. Saccharata"" and bamboo shoots, unmixed)",200599,409,LITRE,313.72,KRW
EXP-28739,United States,Global Trader,VY-6455,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-53654,"Fresh cheese ""unripened or uncured cheese"", incl. whey cheese and curd of a fat content, by weight, of <= 40% (excl. Mozzarella)",4061050,11,KG,16.7,USD
EXP-66772,United States,Sea Pioneer,VY-6057,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-60867,"Cloves, whole fruit, cloves and stems, crushed or ground",9072000,453,PCS,476.43,USD
EXP-65290,Italy,Sea Pioneer,VY-1054,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-38783,"Whey and modified whey, in powder, granules or other solid forms, without added sugar or other sweetening matter, of a protein content ""nitrogen content x 6.38"" of <= 15% by weight and a fat content, by weight, of > 1,5 and <= 27%",4041004,49,M3,137.58,EUR
EXP-10433,United Kingdom,Global Trader,VY-5389,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-95701,"Fresh or chilled cuts of domestic geese, with bone in, n.e.s.",2075481,186,LITRE,206.7,GBP
EXP-98406,United States,Ocean Explorer,VY-6434,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-47645,"Clams, cockles and arkshells, prepared or preserved (excl. smoked)",16055600,49,PCS,204.93,USD
EXP-52975,South Korea,Sea Pioneer,VY-7567,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-65661,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",152190,483,LITRE,467.36,KRW
EXP-28933,India,Neptune Carrier,VY-1178,"Main Port, India","Casa Port, Morocco",Morocco,PROD-97170,"Dried, shelled lentils, whether or not skinned or split",7134000,4,KG,182.8,INR
EXP-71767,Brazil,Blue Horizon,VY-4995,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-54177,"Seeds of herbaceous plants cultivated mainly for flowers, for sowing",12093000,365,LITRE,164.43,BRL
EXP-79290,Japan,Voyager Titan,VY-2823,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-76348,"Round grain husked [brown] rice, parboiled",10062011,253,LITRE,343.6,JPY
EXP-28228,India,Sea Pioneer,VY-2630,"Main Port, India","Casa Port, Morocco",Morocco,PROD-45076,"Smoked, dried, salted or in brine, aquatic invertebrates (excl. crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)",19059045,324,M3,363.22,INR
EXP-53633,Spain,Sea Pioneer,VY-6243,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-18653,"Milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar or other sweetening matter",3069210,323,PCS,298.4,EUR
EXP-84530,India,Horizon Express,VY-7041,"Main Port, India","Casa Port, Morocco",Morocco,PROD-95008,"Garlic, fresh or chilled",7032000,11,M3,266.05,INR
EXP-26569,South Korea,Neptune Carrier,VY-7280,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-80881,Round grain rice in husk,10061030,125,PCS,65.63,KRW
EXP-28894,Turkey,Sea Pioneer,VY-4380,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-94646,"Cumin seeds, neither crushed nor ground",9093100,148,TON,319.9,TRY
EXP-82652,South Korea,Ocean Explorer,VY-4358,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-35587,"Potatoes for manufacture of starch, fresh or chilled",7019010,349,M3,102.8,KRW
